ticker,cik,fiscal_year,shares_outstanding,total_assets,total_liab,deposits,equity,liab_current,longterm_debt,net_income,interest_expense
NIC,1174850,2016,20957513.0,2300879000.0,2024514000.0,1969986000.0,275947000.0,,1000000.0,18462000.0,7334000.0
NIC,1174850,2017,20957513.0,2932433000.0,2567554000.0,2471064000.0,364178000.0,,36509000.0,33150000.0,10511000.0
NIC,1174850,2018,20957513.0,3096535000.0,2709183000.0,2614138000.0,386609000.0,,77305000.0,41036000.0,18889000.0
NIC,1174850,2019,20957513.0,3577260000.0,3060270000.0,2954453000.0,516262000.0,,67629000.0,54641000.0,22510000.0
NIC,1174850,2020,20957513.0,4551789000.0,4012600000.0,3910399000.0,539189000.0,,53869000.0,60122000.0,19864000.0
NIC,1174850,2021,20957513.0,7695037000.0,6803146000.0,6465916000.0,891891000.0,,216915000.0,60652000.0,13604000.0
NIC,1174850,2022,20957513.0,8763969000.0,7791440000.0,,972529000.0,,225342000.0,94260000.0,33957000.0
NIC,1174850,2023,20957513.0,8468678000.0,7429671000.0,7197800000.0,1039007000.0,,166930000.0,61516000.0,141346000.0
NIC,1174850,2024,20957513.0,8796795000.0,7623897000.0,7403684000.0,1172898000.0,,161387000.0,124059000.0,
NIC,1174850,2025,20957513.0,9185107000.0,7927445000.0,7730771000.0,1257662000.0,,134860000.0,150686000.0,
NLOP,1952976,2023,14814075.0,1305089000.0,623659000.0,,677009000.0,,541979000.0,-131746000.0,42613000.0
NLOP,1952976,2024,14814075.0,805069000.0,219666000.0,,581228000.0,,169216000.0,-91471000.0,
NLOP,1952976,2025,14814075.0,453371000.0,155546000.0,,293911000.0,,21900000.0,-145262000.0,
NLY,1043219,2015,753714442.0,75190893000.0,63284971000.0,,11895974000.0,,338444000.0,669666000.0,118807000.0
NLY,1043219,2016,753714442.0,87905046000.0,75329074000.0,,12568180000.0,,314865000.0,1848483000.0,183396000.0
NLY,1043219,2017,753714442.0,101760050000.0,86888477000.0,,14865473000.0,,312500000.0,1569604000.0,318711000.0
NLY,1043219,2018,753714442.0,105787527000.0,91669726000.0,,14112112000.0,,516834000.0,54408000.0,586774000.0
NLY,1043219,2019,753714442.0,130295081000.0,114498737000.0,,15792017000.0,,490631000.0,-2162865000.0,620058000.0
NLY,1043219,2020,753714442.0,88455103000.0,74433307000.0,,14008316000.0,,429650000.0,-891163000.0,899112000.0
NLY,1043219,2021,753714442.0,76764064000.0,63568739000.0,,13169826000.0,,,2389896000.0,249243000.0
NLY,1043219,2022,753714442.0,81850712000.0,70481286000.0,,11270443000.0,,,1725325000.0,1309735000.0
NLY,1043219,2023,753714442.0,93227236000.0,81882145000.0,,11255793000.0,,,-1643171000.0,3842965000.0
NLY,1043219,2024,753714442.0,103556384000.0,90859432000.0,,12609241000.0,,,1001906000.0,4592238000.0
NLY,1043219,2025,753714442.0,135609838000.0,119449927000.0,,16090772000.0,,,2027262000.0,4823705000.0
NMIH,1547903,2015,75217851.0,662451000.0,259720000.0,,402731000.0,,143939000.0,-4821000.0,
NMIH,1547903,2016,75217851.0,841737000.0,364388000.0,,477349000.0,,144353000.0,61562000.0,
NMIH,1547903,2017,75217851.0,894848000.0,385771000.0,,509077000.0,,143882000.0,-1766000.0,3382000.0
NMIH,1547903,2018,75217851.0,1092043000.0,390543000.0,,701500000.0,,146757000.0,35520000.0,3028000.0
NMIH,1547903,2019,75217851.0,1364818000.0,434398000.0,,930420000.0,,145764000.0,50195000.0,2974000.0
NMIH,1547903,2020,75217851.0,2166666000.0,797075000.0,,1369591000.0,,393301000.0,48268000.0,7906000.0
NMIH,1547903,2021,75217851.0,2450581000.0,884795000.0,,1565786000.0,,394623000.0,60523000.0,8029000.0
NMIH,1547903,2022,75217851.0,2516030000.0,902303000.0,,1613727000.0,,396051000.0,72940000.0,8035000.0
